,match_id,victor_team,radiant_team,dire_team
333,4927303287,Radiant,26-39-93-2-33,75-23-42-53-38
334,4918423003,Radiant,61-18-86-38-121,13-42-69-25-50
335,4918314923,Dire,57-86-34-111-18,15-96-27-70-79
336,4904062522,Dire,27-39-93-121-96,10-85-23-104-65
337,4926411317,Radiant,112-18-96-86-25,66-95-7-58-23
338,4889881001,Radiant,112-91-96-72-61,30-57-43-119-18
339,4890306510,Dire,37-34-86-58-73,19-43-57-79-95
340,4890854408,Radiant,86-96-121-8-49,78-39-33-3-42
341,4915621019,Radiant,46-52-83-53-111,106-25-16-54-121
342,4913551977,Dire,19-95-3-86-74,30-55-71-113-52
343,4894257480,Dire,121-79-129-67-106,66-42-46-88-2
344,4913450605,Dire,111-43-129-92-1,81-16-106-112-33
345,4926120241,Dire,63-120-7-68-10,85-18-27-38-52
346,4925524452,Radiant,86-68-42-21-52,57-19-18-90-29
347,4906559245,Dire,88-68-106-129-43,76-91-104-8-87
348,4897853305,Dire,23-25-86-68-42,57-119-76-38-18
349,4899109599,Dire,57-79-2-76-95,97-35-119-96-8
350,4907301192,Radiant,114-28-46-79-25,31-19-47-96-8
351,4910413801,Radiant,110-98-54-28-79,81-95-23-31-60
352,4910411159,Dire,64-129-43-41-68,37-2-114-52-10
353,4918412052,Radiant,17-27-6-85-29,42-121-96-76-106
354,4902837041,Dire,85-94-86-70-29,79-30-52-96-93
355,4898493690,Radiant,16-23-101-10-68,42-96-27-19-106
356,4931519184,Dire,37-13-93-71-99,25-73-84-111-14
357,4931027465,Dire,86-3-114-96-8,33-46-60-85-106
358,4896998377,Radiant,42-43-38-33-50,79-45-110-96-89
359,4896578554,Radiant,27-42-57-21-52,107-76-89-121-96
360,4894186925,Radiant,75-39-16-68-54,51-43-129-37-1
361,4929298761,Radiant,71-27-54-106-96,40-8-49-86-84
362,4916482043,Radiant,54-50-86-7-79,76-9-106-121-16
363,4890624516,Radiant,103-94-96-79-52,68-42-83-11-28
364,4899699117,Radiant,5-106-119-2-8,66-107-23-96-67
365,4917742482,Dire,17-6-29-27-103,19-23-2-42-68
366,4902576905,Radiant,79-52-76-29-18,71-43-13-8-121
367,4916688857,Radiant,47-8-121-38-65,42-73-99-91-68
368,4930944090,Dire,95-57-86-96-106,42-50-25-68-19
369,4889265404,Dire,37-106-96-8-27,68-13-98-33-42
370,4888974952,Radiant,121-106-36-95-7,78-17-27-102-8
371,4918132196,Dire,42-121-56-46-129,54-96-73-86-87
372,4916083003,Radiant,49-86-46-69-121,42-52-53-71-68
