hero,opponent,hero_wins,games_played,win_rate
22,89,9,15,0.6
22,90,19,39,0.487
22,91,2,6,0.333
22,92,1,3,0.333
22,93,26,39,0.667
22,94,1,3,0.333
22,95,11,17,0.647
22,96,14,26,0.538
22,97,11,24,0.458
22,98,10,14,0.714
22,99,10,18,0.556
22,100,6,13,0.462
22,101,17,30,0.567
22,102,15,33,0.455
22,103,9,16,0.562
22,104,26,42,0.619
22,105,2,6,0.333
22,106,22,52,0.423
22,107,8,17,0.471
22,108,3,9,0.333
22,109,17,25,0.68
22,110,13,16,0.812
22,111,13,21,0.619
22,112,10,19,0.526
22,113,1,4,0.25
22,114,6,9,0.667
22,119,6,12,0.5
22,120,12,16,0.75
22,121,16,28,0.571
22,126,6,10,0.6
22,128,3,9,0.333
22,129,20,26,0.769
23,1,12,24,0.5
23,2,37,76,0.487
23,3,36,90,0.4
23,4,31,52,0.596
23,5,38,73,0.521
23,6,20,34,0.588
23,7,70,132,0.53
23,8,58,100,0.58
23,9,64,125,0.512
23,10,38,78,0.487
23,11,22,50,0.44
23,12,27,64,0.422
23,13,55,98,0.561
23,14,14,29,0.483
23,15,35,71,0.493
23,16,57,105,0.543
23,17,40,80,0.5
23,18,19,33,0.576
23,19,103,177,0.582
23,20,28,62,0.452
23,21,39,57,0.684
23,22,13,28,0.464
23,25,74,140,0.529
23,26,18,33,0.545
23,27,35,58,0.603
23,28,20,40,0.5
23,29,16,43,0.372
23,30,23,48,0.479
23,31,61,112,0.545
23,32,18,36,0.5
23,33,14,38,0.368
23,34,8,14,0.571
23,35,10,11,0.909
23,36,27,58,0.466
23,37,19,38,0.5
23,38,54,107,0.505
23,39,45,90,0.5
23,40,18,36,0.5
23,41,53,112,0.473
23,42,32,62,0.516
